matchPeriod,minute,eventName,TeamName
1H,2.8508989333333337,Yellow_Card,Sevilla
1H,29.564331566666667,Yellow_Card,Eibar
2H,45.98438101666667,Goal,Sevilla
2H,46.0374676,Goal,Eibar
2H,75.57184816666665,Goal,Sevilla
2H,75.61110203333332,Goal,Eibar
2H,91.25337083333334,Goal,Sevilla
2H,91.28405651666667,Goal,Eibar
1H,22.067852716666668,Yellow_Card,M\u00e1laga
1H,44.688162600000005,Goal,Las Palmas
1H,44.7376335,Goal,M\u00e1laga
2H,47.870372249999996,Goal,M\u00e1laga
2H,47.89392415,Goal,Las Palmas
2H,60.7181216,Yellow_Card,M\u00e1laga
2H,63.955591950000006,Yellow_Card,M\u00e1laga
2H,66.09152873333335,Yellow_Card,Las Palmas
2H,69.02048195,Goal,Las Palmas
2H,69.05114019999999,Goal,M\u00e1laga
2H,79.67935161666665,Yellow_Card,Las Palmas
2H,81.92922165,Yellow_Card,M\u00e1laga
2H,88.04603473333333,Goal,Las Palmas
2H,88.08226503333333,Goal,M\u00e1laga
1H,20.10858968333333,Yellow_Card,Barcelona
1H,25.0435476,Goal,Barcelona
1H,25.082176716666666,Goal,Espanyol
1H,28.41172303333333,Yellow_Card,Espanyol
1H,34.70888313333333,Goal,Barcelona
1H,34.740193016666666,Goal,Espanyol
2H,59.38407326666666,Yellow_Card,Espanyol
2H,66.06368751666668,Goal,Barcelona
2H,66.08815771666667,Goal,Espanyol
2H,70.11069086666666,Yellow_Card,Espanyol
2H,73.29066169999999,Yellow_Card,Espanyol
2H,83.60163591666665,Yellow_Card,Espanyol
2H,86.20972258333333,Goal,Barcelona
2H,86.22389840000001,Goal,Espanyol
2H,89.76384093333333,Goal,Barcelona
2H,89.79385568333333,Goal,Espanyol
2H,57.07189138333333,Yellow_Card,Las Palmas
2H,59.42253956666667,Yellow_Card,Athletic Club
2H,62.08412471666667,Yellow_Card,Las Palmas
2H,63.00554636666668,Yellow_Card,Athletic Club
2H,76.00972311666666,Yellow_Card,Athletic Club
2H,86.61670326666668,Goal,Las Palmas
2H,86.65070558333333,Goal,Athletic Club
1H,20.827365116666666,Yellow_Card,Sevilla
1H,24.720545633333334,Yellow_Card,Girona
1H,44.08392451666667,Yellow_Card,Sevilla
2H,56.07040751666667,Yellow_Card,Girona
2H,68.19829298333335,Goal,Sevilla
2H,68.2379916,Goal,Girona
2H,70.8131724,Yellow_Card,Sevilla
2H,84.2551929,Yellow_Card,Sevilla
2H,89.13105236666667,Yellow_Card,Sevilla
1H,9.36331955,Yellow_Card,Barcelona
1H,31.537385049999997,Yellow_Card,Getafe
1H,38.77625741666667,Goal,Getafe
1H,38.822292700000006,Goal,Barcelona
2H,52.85921186666667,Yellow_Card,Barcelona
2H,61.2832641,Goal,Barcelona
2H,61.31165193333333,Goal,Getafe
2H,65.80292178333335,Yellow_Card,Barcelona
2H,72.00604786666666,Yellow_Card,Barcelona
2H,83.61591263333332,Goal,Barcelona
2H,83.63145253333334,Goal,Getafe
2H,86.73083588333334,Yellow_Card,Getafe
1H,13.724629350000003,Goal,Real Betis
1H,13.752993616666666,Goal,Deportivo La Coru\u00f1a
1H,22.188301316666664,Goal,Deportivo La Coru\u00f1a
1H,22.23087455,Goal,Real Betis
1H,26.3268594,Yellow_Card,Deportivo La Coru\u00f1a
2H,47.10560651666666,Yellow_Card,Real Betis
2H,58.24891663333334,Yellow_Card,Deportivo La Coru\u00f1a
2H,75.4534001,Goal,Real Betis
2H,75.48569635000001,Goal,Deportivo La Coru\u00f1a
2H,77.75746208333334,Yellow_Card,Deportivo La Coru\u00f1a
2H,93.66489623333334,Yellow_Card,Real Betis
1H,2.9024615833333334,Yellow_Card,Legan\u00e9s
1H,24.311062083333336,Yellow_Card,Legan\u00e9s
1H,42.52868048333333,Yellow_Card,Eibar
2H,47.19754793333333,Yellow_Card,Eibar
2H,49.47277398333333,Yellow_Card,Legan\u00e9s
2H,52.51578751666667,Goal,Eibar
2H,52.55708966666667,Goal,Legan\u00e9s
2H,62.275985850000005,Yellow_Card,Legan\u00e9s
2H,65.75958731666667,Yellow_Card,Legan\u00e9s
1H,18.38243621666667,Goal,Real Madrid
1H,18.425131083333333,Goal,Real Sociedad
1H,28.01370915,Goal,Real Sociedad
1H,28.040090116666665,Goal,Real Madrid
1H,35.440659133333334,Goal,Real Sociedad
1H,35.589900166666666,Yellow_Card,Real Sociedad
1H,38.02765473333333,Yellow_Card,Real Madrid
1H,41.118260299999996,Yellow_Card,Real Sociedad
1H,45.7464134,Yellow_Card,Real Sociedad
2H,60.12070659999999,Goal,Real Madrid
2H,60.149141650000004,Goal,Real Sociedad
2H,63.315838983333336,Yellow_Card,Real Madrid
1H,31.95921333333333,Goal,Villarreal
1H,32.00851601666667,Goal,Deportivo Alav\u00e9s
1H,44.969496400000004,Yellow_Card,Villarreal
2H,51.33375415,Goal,Villarreal
2H,51.361608016666665,Goal,Deportivo Alav\u00e9s
2H,61.31517225,Goal,Villarreal
2H,61.36827623333333,Goal,Deportivo Alav\u00e9s
2H,66.6293742,Yellow_Card,Villarreal
2H,79.70995861666667,Yellow_Card,Deportivo Alav\u00e9s
2H,92.4693418,Yellow_Card,Deportivo Alav\u00e9s
1H,9.745328316666667,Goal,Espanyol
1H,9.800739566666666,Goal,Celta de Vigo
1H,23.109360583333334,Goal,Espanyol
1H,23.17062083333333,Goal,Celta de Vigo
2H,47.30529816666667,Yellow_Card,Celta de Vigo
2H,54.78697331666666,Yellow_Card,Celta de Vigo
2H,62.791788333333336,Yellow_Card,Espanyol
2H,68.26887028333334,Goal,Celta de Vigo
2H,68.31050428333333,Goal,Espanyol
2H,75.83625115,Yellow_Card,Celta de Vigo
2H,76.03397453333334,Yellow_Card,Celta de Vigo
2H,60.05528348333333,Goal,Atl\u00e9tico Madrid
2H,60.078211499999995,Goal,M\u00e1laga
2H,63.07100415,Yellow_Card,Atl\u00e9tico Madrid
2H,75.9115992,Yellow_Card,Atl\u00e9tico Madrid
2H,87.24766695,Yellow_Card,M\u00e1laga
2H,92.54111606666666,Yellow_Card,M\u00e1laga
1H,2.8511263000000002,Yellow_Card,Levante
1H,14.275742949999998,Yellow_Card,Valencia
1H,30.42662343333333,Goal,Valencia
1H,30.451226366666667,Goal,Levante
1H,36.5513654,Yellow_Card,Levante
1H,40.51885553333333,Goal,Levante
1H,40.5548207,Goal,Valencia
1H,15.895248900000002,Yellow_Card,Getafe
1H,24.226137733333335,Goal,Celta de Vigo
1H,24.270506266666665,Goal,Getafe
2H,56.36950343333333,Yellow_Card,Celta de Vigo
2H,64.93846611666666,Yellow_Card,Getafe
2H,68.66160830000001,Yellow_Card,Celta de Vigo
2H,73.26249383333334,Yellow_Card,Getafe
2H,85.03894466666668,Goal,Getafe
2H,85.06991576666667,Goal,Celta de Vigo
2H,91.82185786666668,Yellow_Card,Getafe
1H,24.284876816666667,Yellow_Card,Atl\u00e9tico Madrid
1H,38.44351493333333,Yellow_Card,Atl\u00e9tico Madrid
2H,54.758881366666664,Goal,Atl\u00e9tico Madrid
2H,54.77623216666667,Goal,Athletic Club
2H,72.7048289,Goal,Atl\u00e9tico Madrid
2H,72.71778626666666,Goal,Athletic Club
2H,91.40934023333332,Goal,Athletic Club
2H,91.43735364999999,Goal,Atl\u00e9tico Madrid
1H,0.6014084000000002,Yellow_Card,Las Palmas
1H,43.099606200000004,Yellow_Card,Sevilla
2H,75.35202963333333,Yellow_Card,Las Palmas
2H,82.464497,Goal,Sevilla
2H,82.50476763333333,Goal,Las Palmas
2H,88.76918188333335,Yellow_Card,Sevilla
1H,5.151984850000001,Yellow_Card,Levante
1H,13.351372099999999,Yellow_Card,Levante
1H,43.675758083333335,Yellow_Card,Real Sociedad
1H,44.63781316666667,Goal,Levante
1H,44.666368983333335,Goal,Real Sociedad
2H,74.68542529999999,Goal,Levante
2H,74.7516401,Goal,Real Sociedad
2H,87.07803245,Red_Card,Real Sociedad
2H,88.5702157,Goal,Levante
2H,88.63366746666668,Goal,Real Sociedad
1H,9.909626183333334,Yellow_Card,Eibar
1H,20.007945166666666,Goal,Barcelona
1H,20.047829516666663,Goal,Eibar
1H,37.192627466666664,Goal,Barcelona
1H,37.26460133333333,Goal,Eibar
2H,52.7486667,Goal,Barcelona
2H,52.80883695,Goal,Eibar
2H,56.673054549999996,Goal,Eibar
2H,56.69099736666667,Goal,Barcelona
2H,58.67879043333333,Goal,Barcelona
2H,58.740590266666665,Goal,Eibar
2H,61.61413871666667,Goal,Barcelona
2H,61.667905016666666,Goal,Eibar
2H,79.82103659999999,Yellow_Card,Eibar
2H,86.94347281666666,Goal,Barcelona
2H,87.00637624999999,Goal,Eibar
1H,30.67916951666667,Yellow_Card,Villarreal
1H,40.09504183333333,Yellow_Card,Villarreal
2H,70.95561686666667,Yellow_Card,Villarreal
2H,73.40157326666667,Yellow_Card,Villarreal
2H,76.28777285,Yellow_Card,Espanyol
